ZipCode,Area,ActiveCount,TerminatedCount,TotalHistorical,ChurnRate
85122,East,89,333,422,78.91
85308,West,40,267,307,86.97
85254,Central,56,221,277,79.78
85339,West,31,195,226,86.28
85255,Central,39,179,218,82.11
85383,West,21,170,191,89.01
85018,Central,25,153,178,85.96
85259,Central,21,148,169,87.57
85331,West,21,148,169,87.57
85041,Central,17,142,159,89.31
85028,West,20,133,153,86.93
85249,East,33,129,162,79.63
85042,Central,26,125,151,82.78
85392,West,10,124,134,92.54
85260,Central,22,122,144,84.72
85048,East,27,121,148,81.76
85032,West,13,118,131,90.08
85284,East,19,118,137,86.13
85379,West,11,118,129,91.47
85207,East,33,117,150,78.0
85338,West,16,116,132,87.88
85345,West,16,113,129,87.6
85050,Central,18,107,125,85.6
85016,Central,9,104,113,92.04
85282,Central,20,104,124,83.87
85226,East,21,103,124,83.06
85021,West,19,100,119,84.03
85022,West,21,100,121,82.64
85142,East,17,100,117,85.47
85382,West,14,100,114,87.72
85283,East,23,98,121,80.99
85296,East,23,98,121,80.99
85304,West,17,97,114,85.09
85029,West,15,96,111,86.49
85023,West,11,94,105,89.52
85020,West,18,93,111,83.78
85302,West,9,93,102,91.18
85395,West,13,92,105,87.62
85234,East,22,91,113,80.53
85253,Central,8,91,99,91.92
85086,West,15,88,103,85.44
85044,Central,13,87,100,87.0
85224,East,17,87,104,83.65
85286,East,26,87,113,76.99
85083,West,6,85,91,93.41
85225,East,12,84,96,87.5
85248,East,22,83,105,79.05
85257,Central,14,81,95,85.26
85258,Central,18,81,99,81.82
85233,East,16,80,96,83.33
